,name,cik,ticker
391,Ralph Lauren Corporation,1037038.0,RL
399,ResMed,943819.0,RMD
401,Rockwell Automation Inc.,1024478.0,ROK
402,"Rollins, Inc.",84839.0,ROL
403,Roper Technologies,882835.0,ROP
404,Ross Stores,745732.0,ROST
398,Republic Services Inc,1060391.0,RSG
393,Raytheon Technologies,101829.0,RTX
408,SBA Communications,1034054.0,SBAC
421,Starbucks Corp.,829224.0,SBUX
98,Charles Schwab Corporation,316709.0,SCHW
411,Sealed Air,1012100.0,SEE
414,Sherwin-Williams,89800.0,SHW
425,SVB Financial,719739.0,SIVB
262,JM Smucker,91419.0,SJM
409,Schlumberger Ltd.,87347.0,SLB
417,Snap-on,91440.0,SNA
427,Synopsys Inc.,883241.0,SNPS
418,Southern Company,92122.0,SO
415,Simon Property Group Inc,1063761.0,SPG
406,S&P Global Inc.,64040.0,SPGI
412,Sempra Energy,1032208.0,SRE
423,Steris,1757898.0,STE
422,State Street Corp.,93751.0,STT
410,Seagate Technology,1137789.0,STX
122,Constellation Brands,16918.0,STZ
420,Stanley Black & Decker,93556.0,SWK
416,Skyworks Solutions,4127.0,SWKS
426,Synchrony Financial,1601712.0,SYF
424,Stryker Corp.,310764.0,SYK
428,Sysco Corp.,96021.0,SYY
51,AT&T Inc.,732717.0,T
319,Molson Coors Beverage Company,24545.0,TAP
445,TransDigm Group,1260221.0,TDG
435,Teledyne Technologies,1094285.0,TDY
434,TE Connectivity Ltd.,1385157.0,TEL
437,Teradyne,97210.0,TER
448,Truist Financial,92230.0,TFC
436,Teleflex,96943.0,TFX
433,Target Corp.,27419.0,TGT
442,TJX Companies Inc.,109198.0,TJX
441,Thermo Fisher Scientific,97745.0,TMO
429,T-Mobile US,1283699.0,TMUS
432,"Tapestry, Inc.",1116132.0,TPR
447,Trimble Inc.,864749.0,TRMB
430,T. Rowe Price Group,1113169.0,TROW
446,The Travelers Companies,86312.0,TRV
443,Tractor Supply Company,916365.0,TSCO
438,"Tesla, Inc.",1318605.0,TSLA
451,Tyson Foods,100493.0,TSN
444,Trane Technologies plc,1466258.0,TT
431,Take-Two Interactive,946581.0,TTWO
449,"Twitter, Inc.",1418091.0,TWTR
439,Texas Instruments,97476.0,TXN
440,Textron Inc.,217346.0,TXT
450,Tyler Technologies,860731.0,TYL
455,Under Armour (Class A),1336917.0,UAA
458,United Airlines Holdings,100517.0,UAL
452,"UDR, Inc.",74208.0,UDR
462,Universal Health Services,352915.0,UHS
453,Ulta Beauty,1403568.0,ULTA
459,UnitedHealth Group Inc.,731766.0,UNH
463,Unum Group,5513.0,UNM
457,Union Pacific Corp,100885.0,UNP
460,United Parcel Service,1090727.0,UPS
461,"United Rentals, Inc.",1067701.0,URI
454,U.S. Bancorp,36104.0,USB
474,Visa Inc.,1403161.0,V
465,Varian Medical Systems,203527.0,VAR
471,VF Corporation,103379.0,VFC
472,ViacomCBS,813828.0,VIAC
464,Valero Energy,1035002.0,VLO
476,Vulcan Materials,1396009.0,VMC
475,Vornado Realty Trust,899689.0,VNO
468,Verisk Analytics,1442145.0,VRSK
467,Verisign Inc.,1014473.0,VRSN
470,Vertex Pharmaceuticals Inc,875320.0,VRTX
466,Ventas Inc,740260.0,VTR
473,Viatris,1792044.0,VTRS
469,Verizon Communications,732712.0,VZ
478,Westinghouse Air Brake Technologies Corp,943452.0,WAB
483,Waters Corporation,1000697.0,WAT
480,Walgreens Boots Alliance,1618921.0,WBA
