,date,name,cik,variable,value
195,2009-08-19,FMC Corporation,37785.0,added_ticker,FMC
998,2009-09-28,Airgas Inc,,added_ticker,ARG
735,2009-09-28,Cooper Industries Ltd.,,removed_ticker,CBE
997,2009-11-03,Priceline.com,,added_ticker,PCLN
734,2009-11-03,Schering-Plough Corp.,,removed_ticker,SGP
70,2009-11-06,Booking Holdings Inc,1075531.0,added_ticker,BKNG
732,2009-12-18,KB Home,,removed_ticker,KBH
731,2009-12-18,Dynegy,,removed_ticker,DYN
733,2009-12-18,Convergys,,removed_ticker,CVG
994,2009-12-18,Mead Johnson Nutrition,,added_ticker,MJN
730,2009-12-18,Ciena,,removed_ticker,CIEN
993,2009-12-18,Visa Inc.,,added_ticker,V
995,2009-12-18,Cliffs Natural Resources,,added_ticker,CLF
996,2009-12-18,SAIC Inc.,,added_ticker,SAIC
474,2009-12-21,Visa Inc.,1403161.0,added_ticker,V
404,2009-12-21,Ross Stores,745732.0,added_ticker,ROST
403,2009-12-23,Roper Technologies,882835.0,added_ticker,ROP
345,2010-01-29,NRG Energy,1013871.0,added_ticker,NRG
64,2010-02-16,Berkshire Hathaway,1067983.0,added_ticker,BRK.B
729,2010-02-26,IMS Health,,removed_ticker,RX
992,2010-02-26,Helmerich & Payne,,added_ticker,HP
144,2010-03-01,"Discovery, Inc. (Series A)",1437107.0,added_ticker,DISCA
354,2010-03-15,Oneok,1039684.0,added_ticker,OKE
991,2010-04-29,Cerner Corp.,,added_ticker,CERN
728,2010-04-29,BJ Services Company,,removed_ticker,BJS
96,2010-04-30,Cerner,804753.0,added_ticker,CERN
85,2010-06-28,Carmax Inc,1170010.0,added_ticker,KMX
727,2010-06-28,XTO Energy Inc.,,removed_ticker,XTO
989,2010-06-30,QEP Resources,,added_ticker,QEP
726,2010-06-30,Questar Corp.,,removed_ticker,STR
988,2010-07-14,Chubb Limited,,added_ticker,CB
725,2010-07-14,Millipore Inc.,,removed_ticker,MIL
102,2010-07-15,Chubb Limited,896159.0,added_ticker,CB
987,2010-08-26,Tyco International Ltd.,,added_ticker,TYC
724,2010-08-26,Smith International Inc.,,removed_ticker,SII
264,2010-08-27,Johnson Controls International,833444.0,added_ticker,JCI
986,2010-11-17,Ingersoll-Rand plc,,added_ticker,IR
723,2010-11-17,Pactiv Corp.,,removed_ticker,PTV
444,2010-11-17,Trane Technologies plc,1466258.0,added_ticker,TT
721,2010-12-17,Office Depot Inc.,,removed_ticker,ODP
983,2010-12-17,F5 Networks Inc.,,added_ticker,FFIV
722,2010-12-17,The New York Times Co.,,removed_ticker,NYT
982,2010-12-17,Cablevision Systems Corp.,,added_ticker,CVC
719,2010-12-17,King Pharmaceuticals Inc.,,removed_ticker,KG
720,2010-12-17,Eastman Kodak Co.,,removed_ticker,EK
984,2010-12-17,Netflix Inc.,,added_ticker,NFLX
985,2010-12-17,Newfield Exploration,,added_ticker,NFX
183,2010-12-20,F5 Networks,1048695.0,added_ticker,FFIV
330,2010-12-20,Netflix Inc.,1065280.0,added_ticker,NFLX
981,2011-02-25,Joy Global Inc.,,added_ticker,JOY
718,2011-02-25,Allegheny Energy Inc.,,removed_ticker,AYE
717,2011-02-28,McAfee Inc.,,removed_ticker,MFE
980,2011-02-28,Covidien plc,,added_ticker,COV
979,2011-03-31,Edwards Lifesciences,,added_ticker,EW
716,2011-03-31,Qwest Communications,,removed_ticker,Q
715,2011-04-01,Genzyme Corp.,,removed_ticker,GENZ
163,2011-04-01,Edwards Lifesciences,1099800.0,added_ticker,EW
978,2011-04-01,BlackRock,,added_ticker,BLK
68,2011-04-04,BlackRock,1364742.0,added_ticker,BLK
714,2011-04-27,"Novell, Inc.",,removed_ticker,NOVL
977,2011-04-27,Chipotle Mexican Grill,,added_ticker,CMG
101,2011-04-28,Chipotle Mexican Grill,1058090.0,added_ticker,CMG
713,2011-06-01,Massey Energy Company,,removed_ticker,MEE
976,2011-06-01,"Alpha Natural Resources, Inc.",,added_ticker,ANR
712,2011-06-30,RadioShack Corp.,,removed_ticker,RSH
975,2011-06-30,Marathon Petroleum Corp,,added_ticker,MPC
298,2011-07-01,Marathon Petroleum,1510295.0,added_ticker,MPC
974,2011-07-05,Accenture plc,,added_ticker,ACN
711,2011-07-05,Marshall & Iisley Corp.,,removed_ticker,MI
3,2011-07-06,Accenture,1467373.0,added_ticker,ACN
710,2011-09-23,National Semiconductor Corp.,,removed_ticker,NSM
973,2011-09-23,The Mosaic Company,,added_ticker,MOS
325,2011-09-26,The Mosaic Company,1285785.0,added_ticker,MOS
972,2011-10-14,TE Connectivity Ltd.,,added_ticker,TEL
